"","State","R.Squared","Coefficient"
"1","California",0.377679645257643,2508.71043595877
"2","Virginia",0.537936084600833,1056.13590800963
"3","Florida",0.185672186330744,790.578245627481
"4","New.York",0.72743649242743,1543.24866732836
"5","New.Jersey",0.210843515588943,755.697593880612
"6","Texas",0.769768519693552,1213.15768269857
"7","Utah",0.671574817139432,2076.53610288784
"8","Washington",0.548586010804006,2163.07893129708
"9","Illinois",0.0174846538869006,112.301832375216
"10","Colorado",0.646850812810191,2314.18676307324
"11","Arkansas",0.784352345928273,582.69978934766
"12","Arizona",0.211985407442859,996.001995581709
"13","Nevada",0.0321735672337832,493.46948789413
"14","Michigan",0.0933273151724274,316.598455293944
"15","New.Hampshire",0.346644883456735,834.077375190886
"16","Rhode.Island",0.174934099556005,660.123482642919
"17","Pennsylvania",0.692859394050734,734.950859024378
"18","Tennessee",0.678410118120997,982.251437499645
"19","Massachusetts",0.420672093594579,1365.80591049845
"20","the.District.of.Columbia",0.878939968639927,4081.84890710131
"21","Minnesota",0.347635251002009,776.089049352391
"22","North.Carolina",0.584147075100554,779.03626356676
"23","Oregon",0.658727710376588,2187.29531921271
"24","Georgia",0.284124540921186,622.431155032311
"25","Hawaii",0.827719337925004,4144.18559730392
"26","West.Virginia",0.796497060147135,414.144994276377
"27","Maryland",0.252962214907651,877.669299935927
"28","Maine",0.517253809919339,903.031107306325
"29","Idaho",0.569894074281716,1771.67313431757
"30","Alaska",0.947461899516657,1531.97169999082
"31","South.Carolina",0.602198475846532,719.625438568838
"32","Wisconsin",0.448809923697533,621.621006167908
"33","Vermont",0.885107812762058,1369.46199164769
"34","Missouri",0.497758192973211,527.517903928964
"35","Kansas",0.783071633026559,653.506699053233
"36","Connecticut",0.000152827870915964,13.5696036359886
"37","Delaware",0.345330028157548,737.041585401231
"38","Wyoming",0.929595124436883,1336.60270322836
"39","Mississippi",0.749021744145126,499.187913978353
"40","Louisiana",0.899863119946993,735.376752358562
"41","Alabama",0.694847662960188,595.571709685478
"42","Indiana",0.651255312550777,655.888271665018
"43","Nebraska",0.715516763087715,798.079685664828
"44","Oklahoma",0.844336901145448,600.31846477044
"45","New.Mexico",0.528273661755696,637.339029907701
"46","South.Dakota",0.901669744305489,1221.14384564508
"47","Kentucky",0.688498762667648,545.305525091444
"48","Ohio",0.310802762289041,363.189205823115
"49","Iowa",0.834013961141494,701.229393708857
